comparison_id	left_gene_set	right_gene_set	gene_symbol	status
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	XPO7	shared
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	ZMYM2	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	ATP1A1	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	ATP9A	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	CHRM4	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	CUL1	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	FYN	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	HDAC9	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	HERC1	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	JARID2	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	PPP3CA	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	PTK2	shared
