bmi_exomewide_16,bmi_exomewide_negative,bmi_exomewide_positive,epi25_dee_damaging_missense_bonferroni,epi25_dee_damaging_missense_fdr05,epi25_dee_ptv_bonferroni,epi25_dee_ptv_fdr05,epi25_epi_damaging_missense_bonferroni,epi25_epi_damaging_missense_fdr05,epi25_epi_ptv_bonferroni,epi25_epi_ptv_fdr05,epi25_gge_damaging_missense_bonferroni,epi25_gge_damaging_missense_fdr05,epi25_gge_ptv_fdr05,epi25_nafe_ptv_bonferroni,epi25_nafe_ptv_fdr05,height_207_gene_p,height_singleton_plof,height_singleton_plof_negative,height_singleton_plof_positive,legacy_ddg2p_all,legacy_ddg2p_confident,legacy_fu_asd185,legacy_fu_asd72,legacy_fu_dd309,legacy_fu_dd477,legacy_fu_ndd373,legacy_fu_ndd664,legacy_satterstrom102,legacy_schema_fdr05,legacy_schema_sig,legacy_sfari_all,legacy_sfari_hc,legacy_sfari_score1,legacy_sfari_score12,panelapp_epilepsy_all,panelapp_epilepsy_green,panelapp_intellectual_disability_all,panelapp_intellectual_disability_green,schema_2022_exomewide_10,schema_phase2_2026-04-23_bonferroni,schema_phase2_2026-04-23_fdr05,schema_phase2_2026-05-07_bonferroni,schema_phase2_2026-05-07_fdr05,schema_phase2_2026-05-26_bonferroni,schema_phase2_2026-05-26_fdr05,schema_phase2_2026-07-15_bonferroni,schema_phase2_2026-07-15_fdr05,schema_phase2_2026-08-07_bonferroni,schema_phase2_2026-08-07_fdr05,schema_phase2_2026-08-21_bonferroni,schema_phase2_2026-08-21_fdr05,sfari_all_scored,sfari_score_1,sfari_score_2,sfari_score_3,sfari_syndromic
,,,,,,,,,,,,,,,,COL1A2,,,,ADAM22,ADPRS,CSNK1E,MED13,CBX5,AUTS2,BRPF1,ASXL2,KCNQ3,,,AHDC1,CADM1,CHD3,ANKRD11,ALG9,ARFGEF2,ACTB,AGA,,,SLC17A8,,SLC17A8,,SP4,,SP4,,SP4,,SP4,AKAP9,CHD2,ARHGAP32,CLTC,CBX1
,,,,,,,,,,,,,,,,COL27A1,,,,ADAMTS15,ADSL,CSNK2A1,MED13L,CDC42,BAI1,BRSK2,ASXL3,KDM5B,,,AHI1,CAPN12,CHD7,ANKRD17,ALKBH8,ARG1,ACTG1,AGO1,,,SLC27A3,,SLC27A3,,STAG1,,STAG1,,STAG1,,STAG1,ALDH1L1,CHD3,ARHGAP5,COL12A1,CCNK
,,,,,,,,,,,,,,,,COL8A1,,,,ADAMTS18,AFF2,CTCF,MED23,CDK13,BAP1,CACNA1A,ATF2,KDM6B,,,AHNAK,CARD11,CHD8,ANKS1B,ALPL,ARHGEF9,ACTL6A,AGO2,,,SP4,,SP4,,STK38L,,STK38L,,STK38L,,STK38L,ALDH5A1,CHD7,ARHGEF10,CRMP1,CDH2
,,,,,,,,,,,,,,,,COL8A2,,,,ADAMTS19,AFF3,CTNNA2,MEIS2,CDK8,BCAS3,CACNA1C,ATG13,KIAA0232,,,AKAP9,CASZ1,CIC,ANP32A,AMACR,ARID1B,ACTL6B,AGTPBP1,,,STAG1,,STAG1,,TNPO3,,TNPO3,,TNPO3,,TNPO3,AMPD1,CHD8,ARID2,CSMD2,CDK13
,,,,,,,,,,,,,,,,COLGALT2,,,,ADAMTS9,AFF4,CTNNB1,NAA15,CHAMP1,BCL11A,CACNA1E,ATG9B,KMT2C,,,ALDH1A3,CCDC88C,CNOT3,ANXA1,AMPD2,ARV1,ACVR1,AHCY,,,STK38L,,STK38L,,TRIO,,TRIO,,TRIO,,TRIO,AMT,CIC,ARNT2,CSMD3,CDK19
,,,,,,,,,,,,,,,,CPD,,,,ADAMTSL2,AFG3L2,CUL3,NF1,CHD2,BCL11B,CACNA1G,ATP1A2,KMT2E,,,ALDH1L1,CCDC91,CORO1A,AP2M1,AMT,ARX,ACY1,AHDC1,,,TNPO3,,TNPO3,,UBE2E3,,UBE2E3,,UBE2E3,,UBE2E3,ANK2,CNOT3,ASAP2,CSNK1G1,CDK8
,,,,,,,,,,,,,,,,CPT1A,,,,ADAR,AGA,CYFIP2,NIPBL,CHD3,BCL2L2-PABPN1,CAMK2A,ATP1A3,LDB1,,,ALDH5A1,CCIN,CPSF7,AP2S1,ANK2,ASAH1,ADA,AHI1,,,TRIO,,TRIO,,WDR78,,WDR78,,WDR78,,WDR78,ANK3,CORO1A,ASB14,CTPS1,CDKL5
,,,,,,,,,,,,,,,,CPZ,,,,ADARB1,AGK,CYLD,NRXN1,CHD4,BICD2,CAMK2B,ATP1B1,LRRC4C,,,ALG6,CCNG1,CREBBP,APBA2,ANKRD11,ASH1L,ADAM22,AIFM1,,,UBE2E3,,UBE2E3,,XPO7,,XPO7,,XPO7,,XPO7,ANKRD11,CPSF7,ASMT,CTR9,CELF2
,,,,,,,,,,,,,,,,CRISPLD1,,,,ADCY5,AGL,DEAF1,PHF21A,CHD7,BOD1L1,CAMK2G,ATP2B1,MAP1A,,,AMPD1,CCSER1,CSDE1,APBB1,ANO4,ASL,ADAMTS10,AIMP1,,,XPO7,,XPO7,,YLPM1,,YLPM1,,YLPM1,,YLPM1,ANKRD17,CREBBP,ASPM,CUL2,CEP290
,,,,,,,,,,,,,,,,CRISPLD2,,,,ADGRG1,AGO1,DEDD,PIK3CA,CHD8,BPTF,CAMTA1,ATP2B2,MBD5,,,AMT,CD276,CSNK2A1,APH1A,AP1G1,ASNS,ADAR,AKT3,,,YLPM1,,YLPM1,,ZC3H12B,,ZC3H12B,,ZC3H12B,,ZC3H12B,ANKS1B,CSDE1,ASTN2,CUL4B,CERT1
,,,,,,,,,,,,,,,,CSAD,,,,ADGRG6,AGPS,DIP2A,PLXNA1,CLTC,BRAF,CAMTA2,ATP4A,MED13L,,,ANK2,CD99L2,CTCF,AR,AP2M1,ASPA,ADARB1,ALDH18A1,,,ZC3H12B,,ZC3H12B,,ZMYM2,,ZMYM2,,ZMYM2,,ZMYM2,ANP32A,CSNK2A1,ATP10A,CXXC5,CHAMP1
,,,,,,,,,,,,,,,,CTU2,,,,ADK,AHDC1,DIP2C,POGZ,CNOT1,BRD3,CAPRIN1,ATP6V0A1,MKX,,,ANK3,CDH13,CTNNB1,ARF3,AP3B2,ASXL3,ADAT3,ALDH3A2,,,ZMYM2,,ZMYM2,,ZMYND11,,ZMYND11,,ZMYND11,,ZMYND11,ANXA1,CTCF,ATP1A1,CYFIP2,CHD1
,,,,,,,,,,,,,,,,CYP26B1,,,,ADNP,AHI1,DLG4,PTEN,CNOT3,BRD4,CASKIN1,ATP6V1A,MYT1L,,,ANKRD11,CDK16,CUL3,ARHGAP11B,APC2,ATN1,ADCY5,ALDH4A1,,,ZMYND11,,ZMYND11,,,,,,,,,AP2M1,CTNNB1,ATP1A3,DENND2B,CHD2
,,,,,,,,,,,,,,,,DAAM2,,,,ADPRS,AIFM1,DLL1,RFX3,COL2A1,BRPF1,CASZ1,ATP6V1B2,NACC1,,,ANKRD17,CGNL1,DDX3X,ARHGAP32,ARF1,ATP1A1,ADD1,ALDH5A1,,,,,,,,,,,,,,AP2S1,CUL3,ATP2B2,DGKI,CHD3
,,,,,,,,,,,,,,,,DAP,,,,ADRA2B,AIPL1,DNMT3A,RORB,COL4A1,BRSK1,CBX5,AUTS2,NCOA1,,,ANKS1B,CHRNA7,DEAF1,ARHGAP5,ARF3,ATP1A2,ADD3,ALDH7A1,,,,,,,,,,,,,,APBA2,DDX3X,ATP6V0A2,DHX9,CHD4
,,,,,,,,,,,,,,,,DDR2,,,,ADSL,AIRE,DPYSL2,SATB2,COL4A3BP,CACNA1A,CDC42,B3GNT6,NR3C2,,,ANP32A,CHRNB3,DHCR7,ARHGEF10,ARFGEF1,ATP1A3,ADGRG1,ALG1,,,,,,,,,,,,,,APBB1,DEAF1,AVPR1A,DNAJC5,CHD7
,,,,,,,,,,,,,,,,DISP1,,,,AFF2,AK2,DSCAM,SCN1A,CREBBP,CACNA1C,CDK13,BAI1,NRXN1,,,ANXA1,CIB2,DIP2A,ARHGEF9,ARFGEF2,ATP5O,ADGRG4,ALG11,,,,,,,,,,,,,,APH1A,DHCR7,AVPR1B,DNM1,CHD8
,,,,,,,,,,,,,,,,DLK1,,,,AFF3,AKT1,DYNC1H1,SCN2A,CSNK2A1,CACNA1E,CDK8,BAP1,NSD1,,,AP1S2,CLASP1,DLG4,ARID1B,ARG1,ATP6V0A1,ADGRG6,ALG12,,,,,,,,,,,,,,AR,DIP2A,AZGP1,DOP1A,CHKB
,,,,,,,,,,,,,,,,DPP9,,,,AFF4,AKT2,DYRK1A,SETD5,CSNK2B,CACNA1G,CELF2,BCAS3,NUP155,,,AP2M1,CMPK2,DMPK,ARID2,ARHGEF9,ATP6V0A2,ADGRL1,ALG13,,,,,,,,,,,,,,ARF3,DLG4,BBS4,DPYSL5,CLCN4
,,,,,,,,,,,,,,,,DTL,,,,AFG2A,AKT3,EBF3,SHANK3,CTBP1,CAMK2A,CHAMP1,BCL11A,PAX5,,,AP2S1,CNGB3,DNMT3A,ARNT2,ARID1B,ATP6V0C,ADGRV1,ALG3,,,,,,,,,,,,,,ARHGAP11B,DMPK,BCAS1,EIF3F,CNKSR2
,,,,,,,,,,,,,,,,DUSP16,,,,AFG2B,ALDH18A1,EFTUD2,SKI,CTCF,CAMK2B,CHD2,BCL11B,PHF12,,,APBA2,CNTN3,DPYSL2,ARX,ARV1,ATP6V1A,ADK,ALG6,,,,,,,,,,,,,,ARHGAP30,DNMT3A,BICDL1,EIF4G1,CNOT1
,,,,,,,,,,,,,,,,E4F1,,,,AFG3L2,ALDH1A2,EHMT1,SLC6A1,CTNNB1,CAMK2D,CHD3,BCL9,PHF2,,,APBB1,COL28A1,DSCAM,ASAP2,ARX,ATP7A,ADNP,ALG8,,,,,,,,,,,,,,ARHGAP32,DPYSL2,BICRA,EIF5A,CNOT3
,,,,,,,,,,,,,,,,ERF,,,,AGA,ALDH1A3,FAM120A,SMARCC2,CTNND1,CAMK2G,CHD4,BICD2,PHF21A,,,APH1A,CORO1A,DYNC1H1,ASB14,ASAH1,ATRX,ADPRHL2,ALG9,,,,,,,,,,,,,,ARHGAP5,DSCAM,BIRC6,ENOX2,CNTNAP2
,,,,,,,,,,,,,,,,ESR1,,,,AGK,ALDH3A2,FBXO11,SPAST,CUL3,CAMK4,CHD7,BMPR1A,POGZ,,,AR,CPSF7,DYRK1A,ASH1L,ASH1L,BAP1,ADRA2B,ALKBH8,,,,,,,,,,,,,,ARHGEF10,DYNC1H1,BRCA2,ENPP1,CREBBP
,,,,,,,,,,,,,,,,EXT1,,,,AGL,ALDH4A1,FOXP1,STXBP1,DDX23,CAMTA1,CHD8,BOD1L1,PPP1R9B,,,ARF3,CPT2,EBF3,ASMT,ASL,BCKDHA,ADSL,ALMS1,,,,,,,,,,,,,,ARHGEF2,DYRK1A,BRD4,EPHB1,CSDE1
,,,,,,,,,,,,,,,,EXTL3,,,,AGO1,ALDH5A1,GABBR2,SUV420H1,DEAF1,CASKIN2,CIC,BPTF,PPP2R5D,,,ARHGAP11B,CPZ,EHMT1,ASPM,ASNS,BCKDHB,AFF2,AMER1,,,,,,,,,,,,,,ARHGEF9,EBF3,BST1,FABP4,CSNK1G1
,,,,,,,,,,,,,,,,FAM111A,,,,AGPAT3,ALDH7A1,GABRA1,SYNGAP1,DHDDS,CASZ1,CLTC,BRAF,PPP5C,,,ARHGAP30,CUL7,EIF3G,ASTN2,ASPA,BCS1L,AFF3,AMPD2,,,,,,,,,,,,,,ARID1A,EHMT1,BTAF1,FAM53C,CSNK2A1
,,,,,,,,,,,,,,,,FASN,,,,AGPS,ALDOA,GABRB3,TAOK1,DHX30,CBL,CNOT1,BRD3,PRR12,,,ARHGAP32,DAPP1,ELAVL3,ASXL3,ASTN1,BOLA3,AFF4,AMT,,,,,,,,,,,,,,ARID1B,EIF3G,BTRC,FBXL13,CSNK2B
,,,,,,,,,,,,,,,,FBLN5,,,,AGTPBP1,ALG1,GIGYF1,TCF20,DLG4,CBLL1,CNOT3,BRD4,PTEN,,,ARHGAP5,DDX53,EP300,ATP10A,ASXL3,BRAF,AFG3L2,ANK2,,,,,,,,,,,,,,ARID2,ELAVL3,C15ORF62,FGF13,CTCF
,,,,,,,,,,,,,,,,FBN1,,,,AGXT,ALG11,GRIA2,TCF7L2,DNM1,CBX3,COL2A1,BRPF1,PTK7,,,ARHGEF10,DIPK2A,FMR1,ATP1A1,ATN1,BRAT1,AFP,ANK3,,,,,,,,,,,,,,ARNT2,EP300,C4B,FGF14,CTNNA2
,,,,,,,,,,,,,,,,FBN2,,,,AHDC1,ALG12,GRIN2B,TLK2,DNM1L,CBX5,COL4A1,BRSK1,RAI1,,,ARHGEF2,DLG1,FOXG1,ATP1A3,ATP1A1,BRSK1,AGA,ANKRD11,,,,,,,,,,,,,,ARX,FMR1,CA6,FLNA,CTR9
,,,,,,,,,,,,,,,,FBXL12,,,,AHI1,ALG13,H3F3A,VEZF1,DNMT3A,CDC42,COL4A3BP,BRSK2,RFX3,,,ARHGEF9,DLX2,FOXP1,ATP2B2,ATP1A2,BSCL2,AGAP1,ANKRD17,,,,,,,,,,,,,,ASAP2,FOXG1,CACNA1B,FRMD5,CUL4B
,,,,,,,,,,,,,,,,FBXO17,,,,AIFM1,ALG2,HDAC4,WAC,DPF2,CDK13,CREBBP,BRWD1,RORB,,,ARID1A,DLX3,FOXP2,ATP6V0A2,ATP1A3,BTD,AGK,ANO4,,,,,,,,,,,,,,ASB11,FOXP1,CACNA1D,FRRS1L,CUX2
,,,,,,,,,,,,,,,,FBXW8,,,,AIMP1,ALG3,HECTD4,ZBTB20,DYNC1H1,CDK8,CSNK1E,BTBD10,SATB1,,,ARID1B,DLX6,GABRB2,ATRX,ATP2B1,C12ORF57,AGL,AP1G1,,,,,,,,,,,,,,ASB14,FOXP2,CACNA1F,FRYL,CYP27A1
,,,,,,,,,,,,,,,,FER,,,,AIPL1,ALG6,HNRNPD,,DYRK1A,CELF2,CSNK2A1,BTG3,SCN1A,,,ARID2,DMXL2,GABRB3,AUTS2,ATP2B2,C12ORF66,AGMO,AP1S1,,,,,,,,,,,,,,ASB9,GABRB2,CACNA1G,FXN,DDX23
,,,,,,,,,,,,,,,,FGD1,,,,AIRE,ALG8,HNRNPUL2,,EBF3,CENPE,CSNK2B,C16ORF72,SCN2A,,,ARNT2,DNAH10,GFAP,AVPR1A,ATP5A1,C2ORF69,AGO1,AP1S2,,,,,,,,,,,,,,ASH1L,GABRB3,CACNA1H,GABRA2,DDX3X
,,,,,,,,,,,,,,,,FGF2,,,,AK2,ALG9,INO80D,,EEF1A2,CHAMP1,CTBP1,C3,SETD5,,,ARX,DNAH17,GIGYF1,AVPR1B,ATP5O,CACNA1A,AGO2,AP2M1,,,,,,,,,,,,,,ASMT,GFAP,CACNA1I,GABRG2,DEAF1
,,,,,,,,,,,,,,,,FGFR3,,,,AKR1D1,ALMS1,INTS3,,EFTUD2,CHD2,CTCF,CACNA1A,SHANK2,,,ASAP2,DNAH3,GIGYF2,AZGP1,ATP6AP2,CACNA1B,AGPAT2,AP3B1,,,,,,,,,,,,,,ASPM,GIGYF1,CACNA2D1,GLI3,DENND2B
,,,,,,,,,,,,,,,,FIBIN,,,,AKT1,ALPL,IRF2BPL,,EHMT1,CHD3,CTNNA2,CACNA1C,SHANK3,,,ASB11,DOCK1,GNAI1,BAZ2B,ATP6V0A1,CACNA1C,AGPAT3,AP3B2,,,,,,,,,,,,,,ASTN1,GIGYF2,CACNB2,GLS,DEPDC5
,,,,,,,,,,,,,,,,FLNB,,,,AKT2,ALS2,ITPR3,,EP300,CHD4,CTNNB1,CACNA1D,SIN3A,,,ASB14,DOCK8,GRIA2,BBS4,ATP6V0A2,CACNA1D,AGPS,AP4B1,,,,,,,,,,,,,,ASTN2,GNAI1,CACNG2,GPC5,DHCR7
,,,,,,,,,,,,,,,,FRYL,,,,AKT3,ALX1,ITSN1,,ERF,CHD5,CTNND1,CACNA1E,SKI,,,ASB9,DPP10,GRIN1,BCAS1,ATP6V0C,CACNA1E,AGT,AP4E1,,,,,,,,,,,,,,ASXL3,GRIA2,CADM1,GRB10,DHX30
,,,,,,,,,,,,,,,,FUT10,,,,ALAD,ALX3,KCNB1,,FBN1,CHD7,CTR9,CACNA1G,SLC6A1,,,ASH1L,DPP3,GRIN2A,BCKDK,ATP6V1A,CACNA1G,AGTPBP1,AP4M1,,,,,,,,,,,,,,ATP10A,GRIN1,CADM2,GSPT2,DHX9
,,,,,,,,,,,,,,,,GCGR,,,,ALDH18A1,ALX4,KCNH7,,FBXO11,CHD8,CUL3,CACNA2D1,SMARCC2,,,ASMT,DPYSL3,GRIN2B,BCL11A,ATP7A,CACNA1I,AGTR2,AP4S1,,,,,,,,,,,,,,ATP1A1,GRIN2A,CADPS,H3-3B,DLL1
,,,,,,,,,,,,,,,,GH1,,,,ALDH1A2,AMER1,KCNMA1,,FBXW7,CHMP7,DDX23,CALM1,SPAST,,,ASPM,DST,HDLBP,BICDL1,ATRX,CACNA2D2,AGXT,APC2,,,,,,,,,,,,,,ATP1A3,GRIN2B,CADPS2,HACE1,DMD
,,,,,,,,,,,,,,,,GHR,,,,ALDH1A3,AMPD2,KCNQ3,,FGFR1,CIC,DEAF1,CAMK2A,SRPR,,,ASTN2,DYDC1,HECTD4,BICRA,BAIAP2,CAD,AHCY,APOPT1,,,,,,,,,,,,,,ATP2B1,HDLBP,CAMK4,HCN1,DMPK
,,,,,,,,,,,,,,,,GHRH,,,,ALDH3A2,AMT,KDM3B,,FGFR2,CLTC,DHDDS,CAMK2B,STXBP1,,,ASXL3,DYDC2,HIVEP2,BIRC6,BAP1,CAMSAP1,AHDC1,ARCN1,,,,,,,,,,,,,,ATP2B2,HECTD4,CAPN12,HECTD1,DNMT3A
,,,,,,,,,,,,,,,,GHSR,,,,ALDH4A1,ANAPC1,KDM5B,,FGFR3,CNOT1,DHX30,CAMK2D,SUV420H1,,,ATP10A,EFR3A,HNRNPH2,BRAF,BCKDHA,CAPRIN1,AHI1,ARF1,,,,,,,,,,,,,,ATP6V0A2,HIVEP2,CARD11,HNRNPL,DOLK
,,,,,,,,,,,,,,,,GLI3,,,,ALDH5A1,ANKH,KDM6B,,FOXG1,CNOT2,DLG4,CAMK2G,SYNGAP1,,,ATP1A1,EGR3,HNRNPU,BRCA2,BCKDHB,CARS2,AIFM1,ARF3,,,,,,,,,,,,,,ATP9A,HNRNPH2,CASKIN1,HTR2C,DOT1L
,,,,,,,,,,,,,,,,GLS,,,,ALDH7A1,ANKRD11,KIF1B,,FOXP1,CNOT3,DLL1,CAMK4,TAOK1,,,ATP1A3,EIF3G,HRAS,BRD4,BCL11A,CASK,AIMP1,ARFGEF1,,,,,,,,,,,,,,ATRX,HNRNPU,CC2D1A,HTR3C,DYRK1A
,,,,,,,,,,,,,,,,GNAS,,,,ALDOA,ANKRD17,KMT2A,,FOXP2,COL2A1,DNM1,CAMTA1,TBL1XR1,,,ATP2B1,ELAVL3,IQSEC2,BRSK2,BCORL1,CC2D2A,AIMP2,ARFGEF2,,,,,,,,,,,,,,ATXN2,HRAS,CCDC88C,IGF1,EBF3
,,,,,,,,,,,,,,,,GRAMD2A,,,,ALG1,ANKRD26,KMT2C,,GABRA1,COL4A1,DNM1L,CAMTA2,TBR1,,,ATP2B2,EPC2,IRF2BPL,BST1,BCS1L,CCDC88A,AIPL1,ARG1,,,,,,,,,,,,,,AUTS2,IQSEC2,CCDC91,IKZF1,EEF1A2
,,,,,,,,,,,,,,,,GYG1,,,,ALG11,ANTXR1,KPNA1,,GABRB2,COL4A3BP,DNMT3A,CAPRIN1,TCF20,,,ATP6V0A2,EPHA1,KANSL1,BTAF1,BET1,CDK19,AIRE,ARHGEF9,,,,,,,,,,,,,,AVPR1A,IRF2BPL,CCIN,IRX5,EHMT1
,,,,,,,,,,,,,,,,HAPLN3,,,,ALG12,AP1G1,MAPK8IP3,,GABRB3,CREBBP,DPF2,CASKIN1,TCF4,,,ATP9A,EPPK1,KATNAL2,BTRC,BLOC1S1,CDK5,AK1,ARID1A,,,,,,,,,,,,,,AVPR1B,KANSL1,CCNG1,ITGA8,ELP2
,,,,,,,,,,,,,,,,HDAC6,,,,ALG13,AP1S2,MARK2,,GABRG2,CRIM1,DSCAM,CASKIN2,TCF7L2,,,ATRX,ERBIN,KCNB1,C15ORF62,BOLA3,CDKL5,AK2,ARID1B,,,,,,,,,,,,,,AZGP1,KATNAL2,CCSER1,KAT6B,EP300
,,,,,,,,,,,,,,,,HECTD1,,,,ALG2,AP2M1,MBD5,,GATA3,CSNK1E,DYNC1H1,CASZ1,TEK,,,ATXN2,ERMN,KCNQ2,C4B,BORCS5,CELF2,AKAP17A,ARID2,,,,,,,,,,,,,,BACE1,KCNB1,CCT4,KCNA2,FBRSL1
,,,,,,,,,,,,,,,,HERC1,,,,ALG3,AP3B2,MED13,,GATAD2B,CSNK2A1,DYRK1A,CBL,TLK2,,,AUTS2,EXOC3,KCNQ3,CA6,BORCS8,CEP85L,AKAP4,ARL13B,,,,,,,,,,,,,,BAIAP2L1,KCNQ2,CD276,KCNA3,FBXO11
,,,,,,,,,,,,,,,,HHIPL1,,,,ALG6,AP4B1,MED13L,,GIGYF1,CSNK2B,EBF3,CBLL1,TM9SF4,,,AVPR1A,EXOC5,KDM2B,CACNA1A,BRAF,CERS1,AKAP6,ARL6,,,,,,,,,,,,,,BAZ2B,KCNQ3,CD38,KCNC2,FGF13
,,,,,,,,,,,,,,,,HLTF,,,,ALG8,AP4E1,MED23,,GLI3,CTBP1,EEF1A2,CBX3,TRAF7,,,AVPR1B,EXOC6,KDM3B,CACNA1B,BRAT1,CHD2,AKR1C2,ARMC9,,,,,,,,,,,,,,BBS4,KDM2B,CD99L2,KCNH1,FMR1
,,,,,,,,,,,,,,,,HMCN1,,,,ALG9,AP4M1,MEF2C,,GLTSCR1,CTCF,EFTUD2,CBX5,TRIM23,,,AZGP1,EXOC6B,KDM5B,CACNA1C,BRSK1,CHD4,AKR1D1,ARSA,,,,,,,,,,,,,,BCAS1,KDM3B,CDC42BPB,KCNH5,FOXG1
,,,,,,,,,,,,,,,,HMG20B,,,,ALKBH8,AP4S1,MEIS2,,GLYR1,CTNNB1,EHMT1,CDC42,TRIP12,,,BACE1,FAM47A,KDM5C,CACNA1D,BSCL2,CHD5,AKT1,ARSB,,,,,,,,,,,,,,BCKDK,KDM5B,CDH10,KCNH7,FOXP1
,,,,,,,,,,,,,,,,HMGA2,,,,ALMS1,APTX,MLXIP,,GNAI1,CTNND1,EIF5A,CDC42BPB,UBR1,,,BAIAP2L1,FAM98C,KDM6B,CACNA1E,BSN,CHKA,AKT3,ARSE,,,,,,,,,,,,,,BCL11A,KDM5C,CDH11,KCNN2,FRMD5
,,,,,,,,,,,,,,,,HSD11B2,,,,ALPL,AR,MRFAP1,,GNAO1,CTR9,EP300,CDK13,VEZF1,,,BAZ2B,FCRL6,KIAA0232,CACNA1F,BTD,CHRNA2,ALAD,ARV1,,,,,,,,,,,,,,BCL11B,KDM6B,CDH13,KDM1A,FRMPD4
,,,,,,,,,,,,,,,,HTRA1,,,,ALS2,ARCN1,MYO18A,,GNAS,CUL3,ERF,CDK8,WAC,,,BBS4,FRG1,KLHL20,CACNA1G,C12ORF57,CHRNA4,ALDH18A1,ARX,,,,,,,,,,,,,,BICDL1,KIAA0232,CDH22,KDM2A,FRYL
,,,,,,,,,,,,,,,,IGF1,,,,ALX1,ARF1,MYT1L,,GNB1,DAZAP1,EXT1,CDKN1C,ZMYND8,,,BCAS1,G3BP2,KMT2A,CACNA1H,C12ORF66,CHRNB2,ALDH1A3,ASAH1,,,,,,,,,,,,,,BICRA,KLHL20,CDH8,KDM3A,GABBR2
,,,,,,,,,,,,,,,,IGF1R,,,,ALX3,ARFGEF1,NAA15,,GNB2,DCAF7,FBN1,CDKN2AIP,,,,BCKDK,GABRB2,KMT2C,CACNA1I,C2ORF69,CIC,ALDH3A2,ASCC3,,,,,,,,,,,,,,BIRC6,KMT2A,CDH9,KIZ,GABRA3
,,,,,,,,,,,,,,,,IGF2BP2,,,,ALX4,ARFGEF2,NAA25,,GRIA2,DDX23,FBXO11,CELF1,,,,BCL11A,GALNT13,KMT2E,CACNA2D1,CACNA1A,CLCN3,ALDH4A1,ASH1L,,,,,,,,,,,,,,BPTF,KMT2C,CDK16,KLF7,GALNT2
,,,,,,,,,,,,,,,,IGFALS,,,,AMER1,ARG1,NACC1,,GRIN1,DDX6,FBXW7,CELF2,,,,BCL11B,GALNT8,KMT5B,CACNA2D3,CACNA1B,CLCN4,ALDH5A1,ASL,,,,,,,,,,,,,,BRAF,KMT2E,CECR2,KMT2B,GATM
,,,,,,,,,,,,,,,,IHH,,,,AMFR,ARHGAP31,NAV3,,GRIN2A,DEAF1,FGFR1,CELF4,,,,BCORL1,GAS2,LDB1,CACNB2,CACNA1C,CLDN5,ALDH7A1,ASNS,,,,,,,,,,,,,,BRCA2,KMT5B,CELF2,KMT2D,GNAI1
,,,,,,,,,,,,,,,,IQCC,,,,AMOTL1,ARHGAP35,NCKAP1,,GRIN2B,DHDDS,FGFR2,CENPE,,,,BICDL1,GFAP,LRRC4C,CACNG2,CACNA1D,CLN3,ALDOA,ASPA,,,,,,,,,,,,,,BRD4,LDB1,CELF6,KNG1,GNB2
,,,,,,,,,,,,,,,,IRS1,,,,AMPD2,ARHGEF9,NF1,,GSK3B,DHX30,FGFR3,CENPV,,,,BICRA,GGNBP2,LZTR1,CADM1,CACNA1E,CLN8,ALDOB,ASPM,,,,,,,,,,,,,,BRINP3,LRRC4C,CEP135,KSR2,GRIA3
,,,,,,,,,,,,,,,,IRS4,,,,AMT,ARID1A,NIPBL,,H3F3A,DLG4,FOXG1,CGREF1,,,,BIRC6,GIGYF1,MAGEC3,CADM2,CACNA1G,CLPB,ALG1,ASS1,,,,,,,,,,,,,,BRSK2,LZTR1,CEP290,LARP1,H1-4
,,,,,,,,,,,,,,,,JAK2,,,,ANAPC1,ARID1B,NRXN1,,HDAC2,DLL1,FOXP1,CHAMP1,,,,BRAF,GIGYF2,MAGEL2,CADPS,CACNA1H,CLTC,ALG11,ASXL1,,,,,,,,,,,,,,BSN,MAGEC3,CEP41,LAS1L,H3-3B
,,,,,,,,,,,,,,,,KAT2B,,,,ANGPT2,ARID2,NRXN3,,HECW2,DNM1,FOXP2,CHD2,,,,BRCA2,GNAS,MAP1A,CADPS2,CACNA1I,CNKSR2,ALG12,ASXL2,,,,,,,,,,,,,,BST1,MAGEL2,CGNL1,LDLR,H4C11
,,,,,,,,,,,,,,,,KIF7,,,,ANK2,ARL3,OBSCN,,HIST1H1E,DNM1L,GABBR2,CHD3,,,,BRD4,GPC4,MBD5,CAMK2A,CACNA2D1,CNNM2,ALG13,ASXL3,,,,,,,,,,,,,,BTAF1,MAP1A,CHD1,LMTK3,H4C3
,,,,,,,,,,,,,,,,KMT2B,,,,ANKH,ARL6,PACS1,,HIST1H2AC,DNMT3A,GABRA1,CHD4,,,,BRINP3,GPHN,MBOAT7,CAMK4,CACNA2D2,CNOT9,ALG14,ATAD1,,,,,,,,,,,,,,BTRC,MBD5,CHMP1A,MACF1,H4C5
,,,,,,,,,,,,,,,,LATS2,,,,ANKRD11,ARMC9,PAX5,,HIVEP2,DOT1L,GABRB2,CHD5,,,,BRSK2,GPR37,MECP2,CAMTA2,CACNB4,CNPY3,ALG2,ATAD3A,,,,,,,,,,,,,,C15ORF62,MBOAT7,CHRM3,MADD,HCFC1
