catalog_release,gene_set_id,gene_set_size,phenotype,definition,gene_symbol,ensembl_gene_id,evidence,effect_direction,effect_beta,p_value,source_id,source_title,source_release,source_url,source_retrieved_date,source_usage_note,membership_notes
2026-08-29,epi25_epi_ptv_bonferroni,3,Epilepsy,Epi25 EPI ptv; Bonferroni,NEXMIF,ENSG00000050030,Bonferroni,.,.,6.2791e-09,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_epi_ptv_bonferroni,3,Epilepsy,Epi25 EPI ptv; Bonferroni,SCN1A,ENSG00000144285,Bonferroni,.,.,3.4869e-08,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_epi_ptv_fdr05,4,Epilepsy,Epi25 EPI ptv; BH FDR <= 5%,DEPDC5,ENSG00000100150,FDR<=0.05,.,.,3.4417e-15,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_epi_ptv_fdr05,4,Epilepsy,Epi25 EPI ptv; BH FDR <= 5%,NEXMIF,ENSG00000050030,FDR<=0.05,.,.,6.2791e-09,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_epi_ptv_fdr05,4,Epilepsy,Epi25 EPI ptv; BH FDR <= 5%,NPRL3,ENSG00000103148,FDR<=0.05,.,.,9.2939e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_epi_ptv_fdr05,4,Epilepsy,Epi25 EPI ptv; BH FDR <= 5%,SCN1A,ENSG00000144285,FDR<=0.05,.,.,3.4869e-08,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_gge_damaging_missense_bonferroni,1,Epilepsy,Epi25 GGE damaging_missense; Bonferroni,SLC6A1,ENSG00000157103,Bonferroni,.,.,3.0095e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_gge_damaging_missense_fdr05,1,Epilepsy,Epi25 GGE damaging_missense; BH FDR <= 5%,SLC6A1,ENSG00000157103,FDR<=0.05,.,.,3.0095e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_gge_ptv_fdr05,3,Epilepsy,Epi25 GGE ptv; BH FDR <= 5%,MRPL18,ENSG00000112110,FDR<=0.05,.,.,6.3619e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_gge_ptv_fdr05,3,Epilepsy,Epi25 GGE ptv; BH FDR <= 5%,RYR2,ENSG00000198626,FDR<=0.05,.,.,8.6024e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_gge_ptv_fdr05,3,Epilepsy,Epi25 GGE ptv; BH FDR <= 5%,SETD1B,ENSG00000139718,FDR<=0.05,.,.,6.1394e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_nafe_ptv_bonferroni,2,Epilepsy,Epi25 NAFE ptv; Bonferroni,DEPDC5,ENSG00000100150,Bonferroni,.,.,0.0,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_nafe_ptv_bonferroni,2,Epilepsy,Epi25 NAFE ptv; Bonferroni,NPRL3,ENSG00000103148,Bonferroni,.,.,1.3519e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_nafe_ptv_fdr05,2,Epilepsy,Epi25 NAFE ptv; BH FDR <= 5%,DEPDC5,ENSG00000100150,FDR<=0.05,.,.,0.0,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_nafe_ptv_fdr05,2,Epilepsy,Epi25 NAFE ptv; BH FDR <= 5%,NPRL3,ENSG00000103148,FDR<=0.05,.,.,1.3519e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,height_207_gene_p,207,Height,207 discovery-significant gene-P genes,ABCB1,ENSG00000085563,.,.,.,1.13e-13,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,.
2026-08-29,height_207_gene_p,207,Height,207 discovery-significant gene-P genes,AC004922.1,ENSG00000284292,.,.,.,2.78e-10,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,.
2026-08-29,height_207_gene_p,207,Height,207 discovery-significant gene-P genes,AC073896.1,ENSG00000144785,.,.,.,1.37e-21,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,.
2026-08-29,height_207_gene_p,207,Height,207 discovery-significant gene-P genes,AC127029.3,ENSG00000285947,.,.,.,9.38e-32,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,.
2026-08-29,height_207_gene_p,207,Height,207 discovery-significant gene-P genes,ACAN,ENSG00000157766,.,.,.,3.61e-72,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,.
2026-08-29,height_207_gene_p,207,Height,207 discovery-significant gene-P genes,ADAMTS10,ENSG00000142303,.,.,.,5e-74,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,.
2026-08-29,height_207_gene_p,207,Height,207 discovery-significant gene-P genes,ADAMTS17,ENSG00000140470,.,.,.,8.45e-129,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,.
2026-08-29,height_207_gene_p,207,Height,207 discovery-significant gene-P genes,ADAMTS3,ENSG00000156140,.,.,.,2.58e-41,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,.
2026-08-29,height_207_gene_p,207,Height,207 discovery-significant gene-P genes,ADAMTS6,ENSG00000049192,.,.,.,2.85e-44,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,.
2026-08-29,height_207_gene_p,207,Height,207 discovery-significant gene-P genes,ADAMTSL2,ENSG00000197859,.,.,.,2.4e-35,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,.
2026-08-29,height_207_gene_p,207,Height,207 discovery-significant gene-P genes,ADAMTSL4,ENSG00000143382,.,.,.,3.42e-13,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,.
2026-08-29,height_207_gene_p,207,Height,207 discovery-significant gene-P genes,ADCY6,ENSG00000174233,.,.,.,6.93e-20,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,.
